Dataset,ave_n_neighbors,n_observations,n_features,n_classes,Endpoint,Imbalance,Task,Metadata,seed,n_neighbors,p,weight,score,
,,,,,,,,,,,,,,
analcatdata_happiness,25,60,3,3,categorical,0,classification,,1,25,2,u,0.7333,
,,,,,,,,,2,25,2,u,0.7333,
,,,,,,,,,3,25,2,u,0.7333,
,,,,,,,,,4,25,2,u,0.7333,
,,,,,,,,,5,25,2,u,0.7333,
,,,,,,,,,6,25,2,u,0.7333,
,,,,,,,,,7,25,2,u,0.7333,
,,,,,,,,,8,25,2,u,0.7333,
,,,,,,,,,9,25,2,u,0.7333,
,,,,,,,,,10,25,2,u,0.7333,
,,,,,,,,,,,,,,
analcatdata_japansolvent,27,52,9,2,binary,0,classification,,1,27,1,u,0.6154,
,,,,,,,,,2,27,1,u,0.6154,
,,,,,,,,,3,27,1,u,0.6154,
,,,,,,,,,4,27,1,u,0.6154,
,,,,,,,,,5,27,1,u,0.6154,
,,,,,,,,,6,27,1,u,0.6154,
,,,,,,,,,7,27,1,u,0.6154,
,,,,,,,,,8,27,1,u,0.6154,
,,,,,,,,,9,27,1,u,0.6154,
,,,,,,,,,10,27,1,u,0.6154,
,,,,,,,,,,,,,,
analcatdata_lawsuit,9.3,264,4,2,binary,0.73,classification,,1,10,2,d,0.9545,
,,,,,,,,,2,8,2,d,0.9545,
,,,,,,,,,3,9,2,d,0.9545,
,,,,,,,,,4,10,2,d,0.9545,
,,,,,,,,,5,10,2,d,0.9545,
,,,,,,,,,6,8,2,d,0.9545,
,,,,,,,,,7,9,2,d,0.9545,
,,,,,,,,,8,10,2,d,0.9545,
,,,,,,,,,9,9,2,d,0.9545,
,,,,,,,,,10,10,2,d,0.9545,
,,,,,,,,,,,,,,
appendicitis,13.6,106,7,2,binary,0.36,classification,,1,16,1,d,0.8148,
,,,,,,,,,2,15,1,d,0.8148,
,,,,,,,,,3,8,1,d,0.8148,
,,,,,,,,,4,15,1,u,0.8148,
,,,,,,,,,5,16,1,d,0.8148,
,,,,,,,,,6,15,1,d,0.8148,
,,,,,,,,,7,8,1,d,0.8148,
,,,,,,,,,8,15,1,u,0.8148,
,,,,,,,,,9,13,1,u,0.8148,
,,,,,,,,,10,15,1,d,0.8148,
,,,,,,,,,,,,,,
australian,16,690,14,2,binary,0.01,classification,,1,16,1,u,0.7457,
,,,,,,,,,2,16,1,u,0.7457,
,,,,,,,,,3,16,1,u,0.7457,
,,,,,,,,,4,16,1,u,0.7457,
,,,,,,,,,5,16,1,u,0.7457,
,,,,,,,,,6,16,1,u,0.7457,
,,,,,,,,,7,16,1,u,0.7457,
,,,,,,,,,8,16,1,u,0.7457,
,,,,,,,,,9,16,1,u,0.7457,
,,,,,,,,,10,16,1,u,0.7457,
,,,,,,,,,,,,,,
auto,6,202,25,5,categorical,0.05,classification,,1,6,1,d,0.6275,
,,,,,,,,,2,6,1,d,0.6275,
,,,,,,,,,3,6,1,d,0.6275,
,,,,,,,,,4,6,1,d,0.6275,
,,,,,,,,,5,6,1,d,0.6275,
,,,,,,,,,6,6,1,d,0.6275,
